X,Y,OBJECTID,RADICADO,FECHA,HORA,DIA,PERIODO,CLASE,DIRECCION,DIRECCION_ENC,CBML,TIPO_GEOCOD,GRAVEDAD,BARRIO,COMUNA,DISENO,DIA_NOMBRE,MES,MES_NOMBRE,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD
-75.5955095539169,6.26887564386548,826058,1733322,2020/12/21 00:00:00+00,11:50:00,21,2020,Otro,CL 54 A CR 80,CL  054 A   080  000 00000,1201,Malla vial,CON HERIDOS,Ferrini,La América,Tramo de via,LUNES    ,12,DICIEMBRE ,831989.2,1185204.66,-75.59550955,6.26887564
-75.6104992622504,6.25823537307047,826059,1703928,2020/01/17 00:00:00+00,06:45:00,17,2020,Choque,CR 94 CL 48,CR  094   048  000 00000,13,Malla vial,CON HERIDOS,La Pradera,San Javier,Interseccion,VIERNES  ,01,ENERO     ,830329.97,1184027.82,-75.61049926,6.25823537
-75.5783945403025,6.21383480699781,826060,1708344,2020/02/18 00:00:00+00,05:30:00,18,2020,Choque,CR 50 CL 10,CR  050   010  000 00000,1507,Malla vial,SOLO DAÑOS,Campo Amor,Guayabal,Tramo de via,MARTES   ,02,FEBRERO   ,833883.41,1179116.31,-75.57839454,6.21383481
-75.5602480734212,6.25652623390393,826061,1730299,2020/11/22 00:00:00+00,07:30:00,22,2020,Choque,CR 46 CL 61,CR  046   061  000 00000,803,Malla vial,SOLO DAÑOS,San Miguel,Villa Hermosa,Interseccion,DOMINGO  ,11,NOVIEMBRE ,835892.11,1183838.55,-75.56024807,6.25652623
-75.5796887803047,6.24839983841281,826062,1728996,2020/11/09 00:00:00+00,11:00:00,09,2020,Choque,CR 62 CL 45,CR  062   045  000 00000,1008,Malla vial,SOLO DAÑOS,Corazón de Jesús,La Candelaria,Tramo de via,LUNES    ,11,NOVIEMBRE ,833740.25,1182939.68,-75.57968878,6.24839984
-75.5573119115608,6.25346789894538,826063,1702462,2020/01/03 00:00:00+00,01:40:00,03,2020,Caida Ocupante,CR 41 CL 60,CR  041   060  000 00000,803,Malla vial,CON HERIDOS,San Miguel,Villa Hermosa,Tramo de via,VIERNES  ,01,ENERO     ,836217.11,1183500.26,-75.55731191,6.2534679
-75.5887635441331,6.24928538160906,826064,1721556,2020/08/25 00:00:00+00,04:50:00,25,2020,Choque,CL 44 CR 70,CL  044   070  000 00000,1117,Malla vial,SOLO DAÑOS,Florida Nueva,Laureles Estadio,Tramo de via,MARTES   ,08,AGOSTO    ,832735.78,1183037.67,-75.58876354,6.24928538
-75.6075328469434,6.25235786837753,826065,1716512,2020/06/16 00:00:00+00,11:30:00,16,2020,Caida Ocupante,CL 44 CR 90,CL  044   090  000 00000,1207,Malla vial,CON HERIDOS,El Danubio,La América,Tramo de via,MARTES   ,06,JUNIO     ,830658.26,1183377.66,-75.60753285,6.25235787
-75.5751402397146,6.256581482368,826066,1712491,2020/03/21 00:00:00+00,06:10:00,21,2020,Choque,CR 62 CL 54,CR  062   054  000 00000,10,Malla vial P,CON HERIDOS,San Benito,La Candelaria,Lote o Predio,SÁBADO   ,03,MARZO     ,834243.74,1183844.67,-75.57514024,6.25658148
-75.7038158742467,6.22180566397042,826067,1717766,2020/07/02 00:00:00+00,03:30:00,02,2020,Otro,CR 999 CL 999,CR  999   999  000 00000,0,No Ubicada,CON HERIDOS,Sin Inf,Sin Inf,Tramo de via,JUEVES   ,07,JULIO     ,820000,1180000,-75.70381587,6.22180566
